Rating,Reviews,Size,Installs,Price
4.1,159.0,19.0,10000,0.0
3.9,967.0,14.0,500000,0.0
4.7,87510.0,8.7,5000000,0.0
4.5,215644.0,25.0,50000000,0.0
4.3,967.0,2.8,100000,0.0
4.4,167.0,5.6,50000,0.0
3.8,178.0,19.0,50000,0.0
4.1,36815.0,29.0,1000000,0.0
4.4,13791.0,33.0,1000000,0.0
4.7,121.0,3.1,10000,0.0
4.4,13880.0,28.0,1000000,0.0
4.4,8788.0,12.0,1000000,0.0
4.2,44829.0,20.0,10000000,0.0
4.6,4326.0,21.0,100000,0.0
4.4,1518.0,37.0,100000,0.0
3.2,55.0,2.7,5000,0.0
4.7,3632.0,5.5,500000,0.0
4.5,27.0,17.0,10000,0.0
4.3,194216.0,39.0,5000000,0.0
4.6,224399.0,31.0,10000000,0.0
4.0,450.0,14.0,100000,0.0
4.1,654.0,12.0,100000,0.0
4.7,7699.0,4.2,500000,0.0
4.7,118.0,23.0,50000,0.0
4.8,192.0,6.0,10000,0.0
4.7,20260.0,25.0,500000,0.0
4.1,203.0,6.1,100000,0.0
3.9,136.0,4.6,10000,0.0
4.1,223.0,4.2,100000,0.0
4.2,1120.0,9.2,100000,0.0
4.1,227.0,5.2,50000,0.0
4.5,5035.0,11.0,100000,0.0
4.2,1015.0,11.0,100000,0.0
4.7,353.0,4.2,10000,0.0
3.8,564.0,9.2,100000,0.0
4.7,8145.0,24.0,500000,0.0
4.7,158.0,11.0,10000,0.0
4.0,591.0,9.4,500000,0.0
4.2,117.0,15.0,10000,0.0
4.5,176.0,10.0,100000,0.0
3.8,2206.0,1.2,100000,0.0
4.2,26.0,12.0,10000,0.0
4.7,174531.0,24.0,10000000,0.0
4.6,1070.0,26.0,100000,0.0
4.2,85.0,8.0,100000,0.0
4.3,845.0,7.9,100000,0.0
4.2,367.0,25.0,100000,0.0
4.0,1598.0,56.0,1000000,0.0
3.8,284.0,57.0,100000,0.0
3.9,129.0,35.0,100000,0.0
4.3,542.0,33.0,100000,0.0
4.9,10479.0,33.0,100000,0.0
4.4,805.0,5.6,50000,0.0
4.2,129.0,54.0,100000,0.0
4.0,1403.0,0.201,100000,0.0
3.9,3971.0,3.6,100000,0.0
4.6,534.0,5.7,10000,0.0
4.9,7774.0,17.0,100000,0.0
4.3,38846.0,8.6,1000000,0.0
4.6,2431.0,2.4,100000,0.0
4.9,6090.0,27.0,100000,0.0
3.9,295.0,2.7,10000,0.0
4.0,190.0,2.5,50000,0.0
4.2,52530.0,7.0,5000000,0.0
4.8,116986.0,35.0,5000000,0.0
3.6,1379.0,16.0,500000,0.0
4.2,271920.0,16.0,10000000,0.0
4.8,7021.0,17.0,500000,0.0
4.6,197.0,3.4,50000,0.0
4.5,737.0,8.9,100000,0.0
4.3,3574.0,3.9,1000000,0.0
4.5,994.0,2.9,100000,0.0
4.9,197136.0,38.0,1000000,0.0
3.9,142.0,32.0,50000,0.0
4.4,15168.0,37.0,1000000,0.0
4.0,2155.0,15.0,500000,0.0
4.3,138.0,5.4,100000,0.0
3.7,5414.0,18.0,1000000,0.0
4.3,348.0,38.0,100000,0.0
3.2,250.0,1.1,100000,0.0
4.5,3617.0,7.9,100000,0.0
3.7,4806.0,35.0,1000000,0.0
4.6,31433.0,17.0,1000000,0.0
4.6,5097.0,19.0,1000000,0.0
4.0,1754.0,14.0,500000,0.0
4.4,2680.0,2.2,500000,0.0
4.0,1288.0,4.5,100000,0.0
4.7,18900.0,17.0,500000,0.0
4.9,49790.0,14.0,1000000,0.0
4.7,1150.0,9.8,100000,0.0
3.9,1739.0,21.0,500000,0.0
4.2,2225.0,52.0,500000,0.0
4.6,4369.0,14.0,100000,0.0
4.3,8572.0,25.0,1000000,0.0
4.7,964.0,9.0,50000,0.0
4.8,104.0,12.0,10000,0.0
4.3,601.0,35.0,100000,0.0
4.5,36.0,6.7,10000,0.0
4.1,187.0,30.0,50000,0.0
4.2,30.0,2.9,10000,0.0
4.5,134.0,17.0,10000,0.0
4.4,74.0,2.9,10000,0.0
4.1,9315.0,2.6,1000000,0.0
4.4,75.0,4.2,50000,0.0
4.6,38.0,7.1,10000,0.0
4.5,26834.0,57.0,1000000,0.0
3.9,2277.0,22.0,500000,0.0
4.4,2280.0,24.0,500000,0.0
4.6,184.0,21.0,10000,0.0
3.8,9.0,3.4,5000,0.0
4.0,364.0,6.4,100000,0.0
4.3,18.0,3.2,5000,0.0
4.5,473.0,8.2,100000,0.0
4.1,66.0,2.9,10000,0.0
3.7,3871.0,23.0,1000000,0.0
4.7,257.0,4.6,50000,0.0
4.2,62.0,3.1,10000,0.0
4.5,1857.0,4.9,50000,0.0
4.6,4478.0,9.5,100000,0.0
4.5,418.0,4.2,100000,0.0
4.4,22486.0,5.4,1000000,0.0
4.6,1435.0,2.8,500000,0.0
4.8,116507.0,5.0,1000000,0.0
4.6,90468.0,5.9,5000000,0.0
4.2,860.0,13.0,100000,0.0
4.1,363934.0,7.1,10000000,0.0
4.7,967.0,6.7,500000,0.0
4.3,17506.0,17.0,1000000,0.0
3.3,1862.0,19.0,1000000,0.0
4.6,2084.0,6.7,500000,0.0
4.8,47303.0,21.0,1000000,0.0
4.1,85842.0,37.0,5000000,0.0
4.6,7831.0,15.0,100000,0.0
4.1,91615.0,23.0,5000000,0.0
4.6,4620.0,19.0,500000,0.0
4.7,21336.0,23.0,1000000,0.0
4.5,26875.0,73.0,500000,0.0
3.9,1778.0,4.9,500000,0.0
4.4,2709.0,6.8,1000000,0.0
4.5,527.0,2.9,100000,0.0
4.4,1322.0,3.5,100000,0.0
3.4,1680.0,4.0,100000,0.0
4.9,2739.0,21.0,50000,0.0
4.6,1065.0,2.3,500000,0.0
4.4,8788.0,10.0,1000000,0.0
4.4,51269.0,6.1,1000000,0.0
4.4,30105.0,2.1,1000000,0.0
3.5,156.0,42.0,500000,0.0
4.4,341157.0,30.0,10000000,0.0
4.3,85185.0,29.0,5000000,0.0
4.3,1002861.0,35.0,100000000,0.0
3.9,16589.0,9.1,1000000,0.0
4.8,148945.0,25.0,1000000,0.0
4.5,4458.0,3.9,500000,0.0
4.4,62272.0,18.0,10000000,0.0
4.0,8941.0,12.0,5000000,0.0
4.3,46353.0,21.0,1000000,0.0
4.2,30847.0,55.0,5000000,0.0
4.6,188841.0,3.2,5000000,0.0
3.1,4034.0,0.023,100000,0.0
3.9,45964.0,16.0,1000000,0.0
4.1,6903.0,14.0,1000000,0.0
4.4,31614.0,37.0,10000000,0.0
4.5,207372.0,11.0,5000000,0.0
4.4,1225.0,25.0,100000,0.0
4.4,380837.0,7.3,10000000,0.0
4.3,10600.0,6.5,1000000,0.0
4.4,74359.0,25.0,1000000,0.0
4.6,822.0,3.1,100000,0.0
4.4,2287.0,1.5,1000000,0.0
4.7,4162.0,7.5,100000,0.0
3.8,14760.0,8.6,50000000,0.0
4.7,286897.0,39.0,10000000,0.0
4.5,103755.0,14.0,10000000,0.0
4.2,46505.0,19.0,1000000,0.0
4.7,11442.0,6.8,100000,4.99
4.8,10295.0,39.0,100000,4.99
4.2,296.0,14.0,50000,0.0
4.3,29313.0,20.0,5000000,0.0
4.1,1802.0,26.0,100000,0.0
3.8,1383.0,51.0,100000,0.0
4.3,23175.0,41.0,1000000,0.0
3.8,5868.0,20.0,500000,0.0
4.1,5448.0,12.0,500000,0.0
4.6,4159.0,48.0,500000,0.0
4.3,20815.0,10.0,1000000,0.0
4.5,78662.0,22.0,1000000,0.0
4.1,7149.0,11.0,1000000,0.0
4.5,3079.0,8.5,100000,0.0
4.6,5800.0,8.6,100000,0.0
4.2,16422.0,28.0,1000000,0.0
4.4,108741.0,28.0,10000000,0.0
4.4,31614.0,37.0,10000000,0.0
4.0,624.0,9.0,100000,0.0
4.2,1661.0,46.0,100000,0.0
4.1,308.0,14.0,50000,0.0
3.8,5211.0,26.0,1000000,0.0
3.9,1058.0,23.0,500000,0.0
4.2,296.0,14.0,50000,0.0
4.3,29313.0,20.0,5000000,0.0
4.1,1802.0,26.0,100000,0.0
3.8,1383.0,51.0,100000,0.0
4.3,23175.0,41.0,1000000,0.0
3.8,5868.0,20.0,500000,0.0
4.1,5448.0,12.0,500000,0.0
4.6,4159.0,48.0,500000,0.0
4.3,20815.0,10.0,1000000,0.0
4.5,78662.0,22.0,1000000,0.0
4.1,7149.0,11.0,1000000,0.0
4.5,3079.0,8.5,100000,0.0
4.6,5800.0,8.6,100000,0.0
4.2,16422.0,28.0,1000000,0.0
4.7,286897.0,39.0,10000000,0.0
4.5,103755.0,14.0,10000000,0.0
4.2,46505.0,19.0,1000000,0.0
4.7,11442.0,6.8,100000,4.99
4.8,10295.0,39.0,100000,4.99
4.3,1002859.0,35.0,100000000,0.0
4.5,413.0,29.0,10000,0.0
4.3,23175.0,41.0,1000000,0.0
4.6,24005.0,4.9,500000,0.0
4.7,57106.0,27.0,1000000,0.0
4.7,2249.0,32.0,500000,0.0
4.8,516.0,12.0,50000,0.0
3.9,834.0,15.0,50000,0.0
4.1,1010.0,11.0,50000,0.0
4.4,238970.0,28.0,1000000,0.0
4.6,302.0,2.2,10000,0.0
4.5,438.0,3.4,10000,0.0
4.7,73.0,8.3,10000,0.0
4.4,39.0,4.3,10000,0.0
4.5,144.0,4.7,10000,0.0
3.9,2181.0,10.0,100000,0.0
3.2,93965.0,15.0,5000000,0.0
3.2,1446.0,7.1,100000,0.0
4.1,12088.0,21.0,1000000,0.0
4.5,314.0,6.1,100000,0.0
4.2,15194.0,15.0,1000000,0.0
3.7,22551.0,11.0,1000000,0.0
4.5,29839.0,29.0,1000000,0.0
4.6,279.0,3.3,100000,0.0
